time,halfW01,d0,d1,d2,d3
2.960,0.6478,0,0,0,0
0.340,0.6463,1,3,3,1
0.373,0.6463,1,3,3,1
0.406,0.6464,1,3,3,1
0.440,0.6464,1,3,3,1
0.473,0.6465,1,3,3,1
0.506,0.6467,1,3,3,1
0.539,0.6468,1,3,3,1
0.572,0.6469,1,3,3,1
0.607,0.6471,1,3,3,1
0.640,0.6473,1,3,3,1
0.674,0.6474,1,3,3,1
0.706,0.6476,1,3,3,1
0.740,0.6477,1,3,3,1
0.773,0.6479,1,3,3,1
0.806,0.6481,1,3,4,1
0.839,0.6482,1,3,4,1
0.873,0.6483,1,3,4,1
0.906,0.6485,1,3,4,1
0.939,0.6486,1,3,4,1
0.973,0.6487,1,3,4,1
1.006,0.6489,1,3,4,1
1.039,0.6489,1,3,4,1
1.073,0.6490,1,3,4,1
1.106,0.6491,1,3,4,1
1.140,0.6492,1,3,4,1
1.173,0.6493,1,3,4,1
1.206,0.6494,1,3,4,1
1.239,0.6494,1,3,4,1
1.273,0.6495,1,3,4,1
1.306,0.6496,1,3,4,1
1.340,0.6496,0,0,0,0
1.374,0.6497,0,0,0,0
1.406,0.6497,0,0,0,0
1.439,0.6497,0,0,0,0
1.473,0.6498,0,0,0,0
1.507,0.6499,0,0,0,0
1.540,0.6499,0,0,0,0
1.572,0.6499,0,0,0,0
1.607,0.6500,0,0,0,0
1.640,0.6500,0,0,0,0
1.673,0.6501,0,0,0,0
1.706,0.6502,0,0,0,0
1.739,0.6502,0,0,0,0
1.773,0.6503,0,0,0,0
1.806,0.6504,0,0,0,0
1.839,0.6504,0,0,0,0
1.873,0.6505,0,0,0,0
1.906,0.6506,0,0,0,0
1.940,0.6507,0,0,0,0
1.973,0.6508,0,0,0,0
2.006,0.6509,0,0,0,0
2.040,0.6511,0,0,0,0
2.073,0.6512,0,0,0,0
2.106,0.6513,0,0,0,0
2.139,0.6514,0,0,0,0
2.174,0.6515,0,0,0,0
2.206,0.6517,0,0,0,0
2.239,0.6518,0,0,0,0
2.273,0.6520,0,0,0,0
2.307,0.6522,0,0,0,0
2.340,0.6523,0,0,0,0
2.373,0.6525,0,0,0,0
2.407,0.6527,0,0,0,0
2.439,0.6528,0,0,0,0
2.473,0.6531,0,0,0,0
2.506,0.6533,0,0,0,0
2.539,0.6534,0,0,0,0
2.572,0.6537,0,0,0,0
2.607,0.6540,0,0,0,0
2.640,0.6541,0,0,0,0
2.673,0.6544,0,0,0,0
2.706,0.6547,0,0,0,0
2.740,0.6549,0,0,0,0
2.773,0.6552,0,0,0,0
2.807,0.6555,0,0,0,0
2.840,0.6558,0,0,0,0
2.873,0.6560,0,0,0,0
2.906,0.6564,0,0,0,0
2.940,0.6565,0,0,0,0
2.973,0.6569,0,0,0,0
3.006,0.6573,0,0,0,0
3.039,0.6575,0,0,0,0
3.073,0.6579,0,0,0,0
3.106,0.6583,0,0,0,0
3.140,0.6585,0,0,0,0
3.173,0.6589,0,0,0,0
